col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr,weight
inventory.store_id,rental.staff_id,inventory,rental,0.0,0.0,0.625,0.068933,0.71875,0.71875
film.rental_rate,payment.rental_id,film,payment,0.138987,0.0377898740854131,0.636364,0.078475,0.717826,0.717826
film.rental_rate,rental.rental_id,film,rental,0.154829,0.042097235099472795,0.636364,0.085581,0.716749,0.716749
rental.customer_id,store.store_id,rental,store,0.213928,0.058165959286438695,0.636364,0.073099,0.712732,0.712732
rental.customer_id,staff.store_id,rental,staff,0.213928,0.058165959286438695,0.636364,0.067675,0.712732,0.712732
inventory.store_id,rental.customer_id,inventory,rental,0.213928,0.058165959286438695,0.636364,0.059188,0.712732,0.712732
customer.store_id,rental.customer_id,customer,rental,0.213928,0.058165959286438695,0.636364,0.109178,0.712732,0.712732
customer.customer_id,customer.store_id,customer,customer,0.240499,0.06539048204269295,0.636364,0.141237,0.710925,0.710925
inventory.store_id,payment.customer_id,inventory,payment,0.240499,0.06539048204269295,0.636364,0.06014,0.710925,0.710925
payment.customer_id,staff.store_id,payment,staff,0.240499,0.06539048204269295,0.636364,0.068763,0.710925,0.710925
customer.customer_id,inventory.store_id,customer,inventory,0.240499,0.06539048204269295,0.636364,0.076568,0.710925,0.710925
customer.customer_id,staff.store_id,customer,staff,0.240499,0.06539048204269295,0.636364,0.087547,0.710925,0.710925
customer.customer_id,store.store_id,customer,store,0.240499,0.06539048204269295,0.636364,0.094563,0.710925,0.710925
payment.customer_id,store.store_id,payment,store,0.240499,0.06539048204269295,0.636364,0.074274,0.710925,0.710925
customer.store_id,payment.customer_id,customer,payment,0.240499,0.06539048204269295,0.636364,0.110933,0.710925,0.710925
rental.rental_id,rental.rental_date,rental,rental,0.290453,0.0789727262098649,0.636364,0.078478,0.70753,0.70753
payment.rental_id,rental.rental_date,payment,rental,0.322167,0.08759560508878732,0.636364,0.071962,0.705374,0.705374
language.last_update,staff.last_name,language,staff,0.324838,0.08832183670528483,0.636364,0.022762,0.705193,0.705193
category.last_update,staff.last_name,category,staff,0.324838,0.08832183670528483,0.636364,0.025383,0.705193,0.705193
city.last_update,staff.last_name,city,staff,0.324838,0.08832183670528483,0.636364,0.024067,0.705193,0.705193
staff.last_name,staff.last_update,staff,staff,0.324838,0.08832183670528483,0.636364,0.034221,0.705193,0.705193
staff.last_name,store.last_update,staff,store,0.324838,0.08832183670528483,0.636364,0.041828,0.705193,0.705193
actor.last_update,staff.last_name,actor,staff,0.324838,0.08832183670528483,0.636364,0.024787,0.705193,0.705193
film_category.last_update,staff.last_name,film_category,staff,0.324838,0.08832183670528483,0.636364,0.025552,0.705193,0.705193
inventory.last_update,staff.last_name,inventory,staff,0.324838,0.08832183670528483,0.636364,0.032812,0.705193,0.705193
customer.last_update,staff.last_name,customer,staff,0.324838,0.08832183670528483,0.636364,0.06064,0.705193,0.705193
film.last_update,staff.last_name,film,staff,0.324838,0.08832183670528483,0.636364,0.021526,0.705193,0.705193
customer.create_date,rental.rental_date,customer,rental,0.343867,0.09349572716965433,0.636364,0.049999,0.703899,0.703899
payment.last_update,staff.last_name,payment,staff,0.357696,0.09725576349482992,0.636364,0.029794,0.702959,0.702959
address.last_update,staff.last_name,address,staff,0.358349,0.09743331094730945,0.636364,0.028265,0.702915,0.702915
actor.actor_id,store.store_id,actor,store,0.240499,0.06539048204269295,0.625,0.041001,0.702402,0.702402
actor.actor_id,staff.store_id,actor,staff,0.240499,0.06539048204269295,0.625,0.036329,0.702402,0.702402
actor.actor_id,customer.store_id,actor,customer,0.240499,0.06539048204269295,0.625,0.058608,0.702402,0.702402
actor.actor_id,inventory.store_id,actor,inventory,0.240499,0.06539048204269295,0.625,0.071727,0.702402,0.702402
customer.last_name,rental.last_update,customer,rental,0.378597,0.10293864144930925,0.636364,0.042751,0.701538,0.701538
actor.last_name,rental.last_update,actor,rental,0.414386,0.11266949256231153,0.636364,0.026709,0.699106,0.699106
city.city_id,city.country_id,city,city,0.096309,0.02618593813300561,0.6,0.027347,0.693454,0.693454
address.city_id,city.country_id,address,city,0.108065,0.029382336067690983,0.6,0.026992,0.692654,0.692654
category.category_id,inventory.inventory_id,category,inventory,0.0,0.0,0.583333,0.086675,0.6875,0.6875
category.category_id,rental.inventory_id,category,rental,0.011966,0.00325349589030667,0.583333,0.071722,0.686686,0.686686
film_category.category_id,rental.inventory_id,film_category,rental,0.050904,0.0138405444426016,0.583333,0.090113,0.68404,0.68404
film_category.category_id,inventory.inventory_id,film_category,inventory,0.06287,0.017094040332908268,0.583333,0.110522,0.683226,0.683226
city.country_id,rental.inventory_id,city,rental,0.084344,0.022932714137725706,0.583333,0.034925,0.681767,0.681767
city.country_id,inventory.inventory_id,city,inventory,0.096309,0.02618593813300561,0.583333,0.04769,0.680953,0.680953
customer.last_name,staff.last_update,customer,staff,0.689606,0.1875004418294185,0.636364,0.055947,0.680398,0.680398
actor.last_update,customer.last_name,actor,customer,0.689606,0.1875004418294185,0.636364,0.040524,0.680398,0.680398
customer.last_name,language.last_update,customer,language,0.689606,0.1875004418294185,0.636364,0.037213,0.680398,0.680398
category.last_update,customer.last_name,category,customer,0.689606,0.1875004418294185,0.636364,0.041499,0.680398,0.680398
city.last_update,customer.last_name,city,customer,0.689606,0.1875004418294185,0.636364,0.039347,0.680398,0.680398
customer.last_name,customer.last_update,customer,customer,0.689606,0.1875004418294185,0.636364,0.099139,0.680398,0.680398
customer.last_name,film.last_update,customer,film,0.689606,0.1875004418294185,0.636364,0.034127,0.680398,0.680398
customer.last_name,film_category.last_update,customer,film_category,0.689606,0.1875004418294185,0.636364,0.041775,0.680398,0.680398
customer.last_name,inventory.last_update,customer,inventory,0.689606,0.1875004418294185,0.636364,0.046954,0.680398,0.680398
customer.last_name,store.last_update,customer,store,0.689606,0.1875004418294185,0.636364,0.068383,0.680398,0.680398
city.city_id,film.film_id,city,film,0.0,0.0,0.571429,0.059813,0.678572,0.678572
city.city_id,film_category.film_id,city,film_category,0.0,0.0,0.571429,0.063665,0.678572,0.678572
city.city_id,inventory.film_id,city,inventory,0.0,0.0,0.571429,0.054964,0.678572,0.678572
actor.last_name,category.last_update,actor,category,0.725395,0.19723129294242078,0.636364,0.032412,0.677965,0.677965
actor.last_name,actor.last_update,actor,actor,0.725395,0.19723129294242078,0.636364,0.026435,0.677965,0.677965
actor.last_name,store.last_update,actor,store,0.725395,0.19723129294242078,0.636364,0.024913,0.677965,0.677965
actor.last_name,inventory.last_update,actor,inventory,0.725395,0.19723129294242078,0.636364,0.038558,0.677965,0.677965
actor.last_name,city.last_update,actor,city,0.725395,0.19723129294242078,0.636364,0.017856,0.677965,0.677965
actor.last_name,film.last_update,actor,film,0.725395,0.19723129294242078,0.636364,0.037983,0.677965,0.677965
actor.last_name,film_category.last_update,actor,film_category,0.725395,0.19723129294242078,0.636364,0.044552,0.677965,0.677965
actor.last_name,customer.last_update,actor,customer,0.725395,0.19723129294242078,0.636364,0.036118,0.677965,0.677965
actor.last_name,staff.last_update,actor,staff,0.725395,0.19723129294242078,0.636364,0.020382,0.677965,0.677965
actor.last_name,language.last_update,actor,language,0.725395,0.19723129294242078,0.636364,0.027608,0.677965,0.677965
address.city_id,film.film_id,address,film,0.011755,0.0031961260396586085,0.571429,0.025785,0.677773,0.677773
address.city_id,film_category.film_id,address,film_category,0.011755,0.0031961260396586085,0.571429,0.029517,0.677773,0.677773
address.city_id,inventory.film_id,address,inventory,0.011755,0.0031961260396586085,0.571429,0.028447,0.677773,0.677773
staff.last_name,staff.username,staff,staff,6.2e-05,1.6857491659620055e-05,0.555556,0.043238,0.666663,0.666663
actor.actor_id,customer.customer_id,actor,customer,0.0,0.0,0.545455,0.070757,0.659091,0.659091
category.category_id,city.city_id,category,city,0.0,0.0,0.545455,0.052071,0.659091,0.659091
actor.actor_id,category.category_id,actor,category,0.0,0.0,0.545455,0.081353,0.659091,0.659091
actor.actor_id,payment.customer_id,actor,payment,0.0,0.0,0.545455,0.055575,0.659091,0.659091
address.city_id,category.category_id,address,category,0.011755,0.0031961260396586085,0.545455,0.029343,0.658292,0.658292
actor.actor_id,rental.customer_id,actor,rental,0.026571,0.0072245227562542655,0.545455,0.054696,0.657285,0.657285
city.country_id,film_category.category_id,city,film_category,0.03344,0.009092169695124105,0.545455,0.053297,0.656818,0.656818
actor.actor_id,film_category.category_id,actor,film_category,0.06287,0.017094040332908268,0.545455,0.090461,0.654818,0.654818
city.city_id,film_category.category_id,city,film_category,0.06287,0.017094040332908268,0.545455,0.058739,0.654818,0.654818
address.city_id,film_category.category_id,address,film_category,0.074625,0.02029016637256688,0.545455,0.031318,0.654019,0.654019
category.category_id,city.country_id,category,city,0.096309,0.02618593813300561,0.545455,0.047931,0.652545,0.652545
city.city_id,city.city,city,city,0.390986,0.10630714893593882,0.571429,0.022105,0.651995,0.651995
address.city_id,city.city,address,city,0.402741,0.10950327497559742,0.571429,0.021818,0.651196,0.651196
