col_i,col_j,table_i,table_j,P_stat,P_stat_norm,P_name,P_sem,Sim_attr
actor.first_name,address.address2,actor,address,0.928717,0.252514,0.000000,0.028545,0.186872
actor.first_name,address.district,actor,address,0.000492,0.000134,0.300000,0.019343,0.474967
actor.first_name,address.city_id,actor,address,0.303978,0.082650,0.200000,0.021706,0.379337
actor.first_name,address.postal_code,actor,address,0.291687,0.079308,0.272727,0.024588,0.434718
actor.first_name,address.phone,actor,address,2.277459,0.619230,0.200000,0.028270,0.245193
actor.first_name,address.last_update,actor,address,0.064544,0.017549,0.363636,0.019075,0.518340
actor.first_name,category.category_id,actor,category,0.292222,0.079454,0.000000,0.038808,0.230137
actor.first_name,category.name,actor,category,0.030951,0.008415,0.400000,0.041243,0.547896
actor.first_name,category.last_update,actor,category,0.718767,0.195429,0.363636,0.029145,0.473870
actor.first_name,city.city_id,actor,city,0.292222,0.079454,0.200000,0.023965,0.380137
actor.first_name,city.city,actor,city,0.098940,0.026901,0.200000,0.015944,0.393275
actor.first_name,city.country_id,actor,city,0.349427,0.095007,0.100000,0.019725,0.301248
actor.first_name,city.last_update,actor,city,0.718767,0.195429,0.363636,0.016242,0.473870
actor.first_name,customer.customer_id,actor,customer,0.292222,0.079454,0.090909,0.052006,0.298318
actor.first_name,customer.store_id,actor,customer,0.493617,0.134212,0.100000,0.043077,0.291447
actor.first_name,customer.first_name,actor,customer,0.013061,0.003551,1.000000,0.040027,0.999112
actor.first_name,customer.last_name,actor,customer,0.029161,0.007929,0.700000,0.038424,0.773018
actor.first_name,customer.email,actor,customer,0.007880,0.002143,0.100000,0.034721,0.324464
actor.first_name,customer.address_id,actor,customer,0.338809,0.092120,0.100000,0.042060,0.301970
actor.first_name,customer.active,actor,customer,0.407609,0.110827,0.200000,0.050788,0.372293
actor.first_name,customer.create_date,actor,customer,0.407758,0.110867,0.363636,0.040975,0.495010
actor.first_name,customer.last_update,actor,customer,0.718767,0.195429,0.363636,0.040925,0.473870
actor.first_name,film.film_id,actor,film,0.292222,0.079454,0.300000,0.050472,0.455137
actor.first_name,film.title,actor,film,0.010312,0.002804,0.300000,0.045861,0.474299
actor.first_name,film.description,actor,film,0.177350,0.048221,0.000000,0.054045,0.237945
actor.first_name,film.release_year,actor,film,0.665180,0.180859,0.166667,0.043915,0.329785
actor.first_name,film.language_id,actor,film,0.718618,0.195389,0.000000,0.040687,0.201153
actor.first_name,film.original_language_id,actor,film,0.928717,0.252514,0.250000,0.048877,0.374372
actor.first_name,film.rental_duration,actor,film,0.313102,0.085131,0.133333,0.039582,0.328717
actor.first_name,film.rental_rate,actor,film,0.447051,0.121551,0.272727,0.036147,0.424158
actor.first_name,film.length,actor,film,0.279168,0.075904,0.100000,0.037100,0.306024
actor.first_name,film.replacement_cost,actor,film,0.331539,0.090144,0.125000,0.035339,0.321214
actor.first_name,film.rating,actor,film,0.013668,0.003716,0.300000,0.040543,0.474071
actor.first_name,film.special_features,actor,film,0.187732,0.051043,0.187500,0.051300,0.377864
actor.first_name,film.last_update,actor,film,0.718767,0.195429,0.363636,0.034154,0.473870
actor.first_name,film_category.film_id,actor,film_category,0.292222,0.079454,0.300000,0.053722,0.455137
actor.first_name,film_category.category_id,actor,film_category,0.315988,0.085916,0.000000,0.049566,0.228521
actor.first_name,film_category.last_update,actor,film_category,0.718767,0.195429,0.363636,0.040060,0.473870
actor.first_name,inventory.inventory_id,actor,inventory,0.292222,0.079454,0.083333,0.045092,0.292636
actor.first_name,inventory.film_id,actor,inventory,0.292222,0.079454,0.300000,0.046380,0.455137
actor.first_name,inventory.store_id,actor,inventory,0.493617,0.134212,0.100000,0.036976,0.291447
actor.first_name,inventory.last_update,actor,inventory,0.718767,0.195429,0.363636,0.037033,0.473870
actor.first_name,language.language_id,actor,language,0.292222,0.079454,0.000000,0.032945,0.230137
actor.first_name,language.name,actor,language,0.043276,0.011767,0.400000,0.027458,0.547058
actor.first_name,language.last_update,actor,language,0.718767,0.195429,0.363636,0.024824,0.473870
actor.first_name,payment.payment_id,actor,payment,0.292222,0.079454,0.000000,0.026130,0.230137
actor.first_name,payment.customer_id,actor,payment,0.292222,0.079454,0.090909,0.040848,0.298318
actor.first_name,payment.staff_id,actor,payment,0.493617,0.134212,0.100000,0.028392,0.291447
actor.first_name,payment.rental_id,actor,payment,0.323935,0.088076,0.100000,0.025195,0.302981
actor.first_name,payment.amount,actor,payment,0.335626,0.091255,0.100000,0.026557,0.302186
actor.first_name,payment.payment_date,actor,payment,0.063891,0.017372,0.333333,0.019253,0.495657
actor.first_name,payment.last_update,actor,payment,0.063891,0.017372,0.363636,0.020107,0.518384
actor.first_name,rental.rental_id,actor,rental,0.292222,0.079454,0.100000,0.035771,0.305137
actor.first_name,rental.rental_date,actor,rental,0.063891,0.017372,0.272727,0.024711,0.450202
actor.first_name,rental.inventory_id,actor,rental,0.280256,0.076200,0.083333,0.036765,0.293450
actor.first_name,rental.customer_id,actor,rental,0.279689,0.076046,0.090909,0.040201,0.299170
actor.first_name,rental.return_date,actor,rental,0.063891,0.017372,0.272727,0.027824,0.450202
actor.first_name,rental.staff_id,actor,rental,0.493617,0.134212,0.100000,0.031409,0.291447
actor.first_name,rental.last_update,actor,rental,0.407758,0.110867,0.363636,0.024016,0.495010
actor.first_name,staff.staff_id,actor,staff,0.493617,0.134212,0.100000,0.029887,0.291447
actor.first_name,staff.first_name,actor,staff,0.393930,0.107108,1.000000,0.024665,0.973223
actor.first_name,staff.last_name,actor,staff,0.393929,0.107107,0.700000,0.023503,0.748223
actor.first_name,staff.address_id,actor,staff,0.554210,0.150687,0.100000,0.027518,0.287328
actor.first_name,staff.picture,actor,staff,1.849065,0.502752,0.300000,0.029428,0.349312
actor.first_name,staff.email,actor,staff,0.407898,0.110905,0.100000,0.022355,0.297274
actor.first_name,staff.store_id,actor,staff,0.493617,0.134212,0.100000,0.026701,0.291447
actor.first_name,staff.active,actor,staff,0.718618,0.195389,0.200000,0.033662,0.351153
actor.first_name,staff.username,actor,staff,0.393930,0.107108,0.500000,0.029180,0.598223
actor.first_name,staff.password,actor,staff,0.719094,0.195518,0.100000,0.025806,0.276120
actor.first_name,staff.last_update,actor,staff,0.718767,0.195429,0.363636,0.023095,0.473870
actor.first_name,store.store_id,actor,store,0.493617,0.134212,0.100000,0.028841,0.291447
actor.first_name,store.manager_staff_id,actor,store,0.493617,0.134212,0.187500,0.031052,0.357072
actor.first_name,store.address_id,actor,store,0.493617,0.134212,0.100000,0.025815,0.291447
actor.first_name,store.last_update,actor,store,0.718767,0.195429,0.363636,0.028229,0.473870
actor.last_name,actor.last_update,actor,actor,0.725395,0.197231,0.636364,0.026435,0.677965
actor.last_name,address.address_id,actor,address,0.298850,0.081256,0.000000,0.023980,0.229686
actor.last_name,address.address,actor,address,0.017550,0.004772,0.111111,0.017144,0.332140
actor.last_name,address.address2,actor,address,0.935345,0.254316,0.111111,0.025192,0.269754
actor.last_name,address.district,actor,address,0.007167,0.001949,0.222222,0.017071,0.416179
actor.last_name,address.city_id,actor,address,0.310606,0.084452,0.111111,0.019156,0.312220
actor.last_name,address.postal_code,actor,address,0.298314,0.081110,0.363636,0.021700,0.502449
actor.last_name,address.phone,actor,address,2.284087,0.621032,0.222222,0.024949,0.261409
actor.last_name,address.last_update,actor,address,0.071172,0.019351,0.636364,0.016835,0.722435
actor.last_name,category.category_id,actor,category,0.298850,0.081256,0.090909,0.043159,0.297868
actor.last_name,category.name,actor,category,0.037610,0.010226,0.444444,0.045867,0.580777
actor.last_name,category.last_update,actor,category,0.725395,0.197231,0.636364,0.032412,0.677965
actor.last_name,city.city_id,actor,city,0.298850,0.081256,0.111111,0.026652,0.313019
actor.last_name,city.city,actor,city,0.092231,0.025077,0.111111,0.015784,0.327064
actor.last_name,city.country_id,actor,city,0.356055,0.096810,0.100000,0.019526,0.300798
actor.last_name,city.last_update,actor,city,0.725395,0.197231,0.636364,0.017856,0.677965
actor.last_name,customer.customer_id,actor,customer,0.298850,0.081256,0.181818,0.045897,0.366050
actor.last_name,customer.store_id,actor,customer,0.500245,0.136014,0.111111,0.038017,0.299330
actor.last_name,customer.first_name,actor,customer,0.019739,0.005367,0.700000,0.035325,0.773658
actor.last_name,customer.last_name,actor,customer,0.035845,0.009746,1.000000,0.033911,0.997563
actor.last_name,customer.email,actor,customer,0.014508,0.003945,0.111111,0.030643,0.332347
actor.last_name,customer.address_id,actor,customer,0.345437,0.093923,0.000000,0.037119,0.226519
actor.last_name,customer.active,actor,customer,0.414328,0.112654,0.333333,0.044822,0.471836
actor.last_name,customer.create_date,actor,customer,0.414386,0.112669,0.363636,0.036162,0.494560
actor.last_name,customer.last_update,actor,customer,0.725395,0.197231,0.636364,0.036118,0.677965
actor.last_name,film.film_id,actor,film,0.298850,0.081256,0.111111,0.056130,0.313019
actor.last_name,film.title,actor,film,0.016940,0.004606,0.222222,0.051002,0.415515
actor.last_name,film.description,actor,film,0.170631,0.046394,0.090909,0.060104,0.306583
actor.last_name,film.release_year,actor,film,0.671807,0.182661,0.333333,0.048838,0.454335
actor.last_name,film.language_id,actor,film,0.725337,0.197216,0.272727,0.045248,0.405241
actor.last_name,film.original_language_id,actor,film,0.935345,0.254316,0.200000,0.054357,0.336421
actor.last_name,film.rental_duration,actor,film,0.319730,0.086933,0.200000,0.044019,0.378267
actor.last_name,film.rental_rate,actor,film,0.453679,0.123353,0.363636,0.040199,0.491889
actor.last_name,film.length,actor,film,0.285796,0.077707,0.222222,0.041260,0.397240
actor.last_name,film.replacement_cost,actor,film,0.338167,0.091946,0.250000,0.039301,0.414514
actor.last_name,film.rating,actor,film,0.020387,0.005543,0.333333,0.045089,0.498614
actor.last_name,film.special_features,actor,film,0.181013,0.049217,0.187500,0.057051,0.378321
actor.last_name,film.last_update,actor,film,0.725395,0.197231,0.636364,0.037983,0.677965
actor.last_name,film_category.film_id,actor,film_category,0.298850,0.081256,0.111111,0.059745,0.313019
actor.last_name,film_category.category_id,actor,film_category,0.322616,0.087718,0.090909,0.055122,0.296252
actor.last_name,film_category.last_update,actor,film_category,0.725395,0.197231,0.636364,0.044552,0.677965
actor.last_name,inventory.inventory_id,actor,inventory,0.298850,0.081256,0.083333,0.050147,0.292186
actor.last_name,inventory.film_id,actor,inventory,0.298850,0.081256,0.111111,0.051580,0.313019
actor.last_name,inventory.store_id,actor,inventory,0.500245,0.136014,0.111111,0.041121,0.299330
